block,leaf,field,n_experiments,min_dscore,max_dscore,mean_abs_dscore,max_abs_dscore,status,manual_override,crosscheck_tested,crosscheck_peak_abs_dscore,crosscheck_verdict
Glu_mGluR_2,ePP2A+RpS870,Km,21,-0.013902,0.056037,0.005368,0.056037,sloppy,,,,
AC_1,eAC2Gs+ATP,kcat,15,-0.051927,0.056109,0.013486,0.056109,well_identified,,,,
43S,RM+Q,tau,5,-0.056485,0.0,0.011301,0.056485,sloppy,,,,
TrKs_PLCg,eEGFR+CaPLCg,kcat,14,-0.058153,0.043366,0.014122,0.058153,sloppy,,,,
TrKs_PLCg,Ca+PLCgp,tau,14,-0.059331,1.8e-05,0.00941,0.059331,sloppy,,,,
Glu_mGluR_3,Glu_mGluR+Gq,tau,21,-0.028457,0.060511,0.009294,0.060511,sloppy,,,,
CaMKII_1,eCaMCaMKII+CaMCaMKII,kcat,11,-0.056189,0.060691,0.013309,0.060691,well_identified,,,,
Receptors_MAPK_2,mGluRpT840barr2craf_dissoc,Kf,45,-0.060889,0.001914,0.001702,0.060889,sloppy,,,,
Receptors_MAPK_2,ecraf1_mGluRbarr2+MEKp,kcat,45,-0.060944,0.008167,0.002745,0.060944,sloppy,,,,
Receptors_MAPK_2,ecraf1_mGluRbarr2+MEK,kcat,45,-0.060978,0.009158,0.002784,0.060978,sloppy,,,,
Receptors_MAPK_2,ePP2A+RpT840barr2craf1p,Km,45,-0.061034,0.020943,0.00444,0.061034,well_identified,,,,
Receptors_MAPK_3,ng+CaM,Kd,45,-0.061075,0.002132,0.001493,0.061075,sloppy,,,,
PKA_1,Release_C1,Kd,9,-0.06109,0.009106,0.009506,0.06109,sloppy,,,,
Receptors_MAPK_2,eMKP1+MAPKpq,kcat,45,-0.061097,0.014588,0.003145,0.061097,sloppy,,,,
Receptors_MAPK_2,ePP2A+RpT840barr2craf1p,kcat,45,-0.061099,0.005123,0.002246,0.061099,sloppy,,,,
Receptors_MAPK_3,ecraf1_mGluRbarr2+MEK,Km,45,-0.061223,0.000721,0.001514,0.061223,sloppy,,,,
Receptors_MAPK_1,Raf1_deph,kcat,45,-0.061234,0.014513,0.005274,0.061234,well_identified,,,,
Receptors_MAPK_3,Isob2ARp1+barr2,tau,45,-0.061234,9.3e-05,0.001378,0.061234,sloppy,,PKA/AC,6e-06,still_dead
